,datetime,irradiance,power
0,2026-08-07 00:00:00,0.0,0.0
1,2026-08-07 01:00:00,0.0,0.0
2,2026-08-07 02:00:00,0.0,0.0
3,2026-08-07 03:00:00,0.0,0.0
4,2026-08-07 04:00:00,0.0,0.0
5,2026-08-07 05:00:00,70.3,0.31634999999999996
6,2026-08-07 06:00:00,305.7,1.37565
7,2026-08-07 07:00:00,551.5,2.48175
8,2026-08-07 08:00:00,758.9,3.4150500000000004
9,2026-08-07 09:00:00,902.3,4.06035
10,2026-08-07 10:00:00,973.2,4.3793999999999995
11,2026-08-07 11:00:00,964.8,4.3416
12,2026-08-07 12:00:00,858.1,3.86145
13,2026-08-07 13:00:00,731.3,3.29085
14,2026-08-07 14:00:00,543.8,2.4471
15,2026-08-07 15:00:00,332.3,1.49535
16,2026-08-07 16:00:00,122.0,0.549
17,2026-08-07 17:00:00,98.3,0.44235
18,2026-08-07 18:00:00,65.4,0.2943
19,2026-08-07 19:00:00,15.2,0.0684
20,2026-08-07 20:00:00,0.0,0.0
21,2026-08-07 21:00:00,0.0,0.0
22,2026-08-07 22:00:00,0.0,0.0
23,2026-08-07 23:00:00,0.0,0.0
